sgRNA,T0,T20,Fold change,Average FC Gene
mcf7_unique:TSS100024_-_17662045.23-CUFF.46609.1,1383,1,Err:507,
mcf7_unique:TSS100024_-_17662051.23-CUFF.46609.1,1229,304,Err:507,
mcf7_unique:TSS100024_-_17662250.23-CUFF.46609.1,1265,602,Err:507,
mcf7_unique:TSS100024_-_17662267.23-CUFF.46609.1,2897,10,Err:507,
mcf7_unique:TSS100024_+_17661984.23-CUFF.46609.1,67,264,Err:507,
mcf7_unique:TSS100024_+_17662123.23-CUFF.46609.1,90,0,0,
mcf7_unique:TSS100024_+_17662167.23-CUFF.46609.1,1843,5,Err:507,
mcf7_unique:TSS100024_+_17662182.23-CUFF.46609.1,714,2,Err:507,0.584154051266898
mcf7_unique:TSS100027_-_17870899.23-CUFF.46581.1,645,2,Err:507,
mcf7_unique:TSS100027_-_17870912.23-CUFF.46581.1,656,8,Err:507,
mcf7_unique:TSS100027_-_17870985.23-CUFF.46581.1,783,1,Err:507,
mcf7_unique:TSS100027_+_17870947.23-CUFF.46581.1,560,0,Err:507,
mcf7_unique:TSS100027_+_17871017.23-CUFF.46581.1,2610,435,Err:507,
mcf7_unique:TSS100027_+_17871044.23-CUFF.46581.1,957,799,Err:507,
mcf7_unique:TSS100027_+_17871064.23-CUFF.46581.1,2275,1367,Err:507,
mcf7_unique:TSS100027_+_17871289.23-CUFF.46581.1,1081,5,Err:507,
mcf7_unique:TSS100027_+_17871319.23-CUFF.46581.1,1234,250,Err:507,
mcf7_unique:TSS100027_+_17871325.23-CUFF.46581.1,874,4,Err:507,0.183081475416007
mcf7_unique:TSS100120_-_22876371.23-P1P2,1019,7,Err:507,
mcf7_unique:TSS100120_-_22876430.23-P1P2,84,0,Err:507,
mcf7_unique:TSS100120_-_22876761.23-P1P2,3194,13,Err:507,
mcf7_unique:TSS100120_-_22876787.23-P1P2,423,1,Err:507,
mcf7_unique:TSS100120_-_22876790.23-P1P2,1324,363,Err:507,
mcf7_unique:TSS100120_+_22876510.23-P1P2,487,377,Err:507,
mcf7_unique:TSS100120_+_22876813.23-P1P2,1625,384,Err:507,0.185415409175996
"mcf7_unique:TSS100124_-_22979335.23-CUFF.46690.1,CUFF.46690.2",215,1,Err:507,
"mcf7_unique:TSS100124_-_22979354.23-CUFF.46690.1,CUFF.46690.2",2728,690,Err:507,
"mcf7_unique:TSS100124_-_22979582.23-CUFF.46690.1,CUFF.46690.2",661,0,Err:507,
"mcf7_unique:TSS100124_-_22979592.23-CUFF.46690.1,CUFF.46690.2",1252,1,Err:507,
"mcf7_unique:TSS100124_-_22979597.23-CUFF.46690.1,CUFF.46690.2",4920,1075,Err:507,
"mcf7_unique:TSS100124_-_22979669.23-CUFF.46690.1,CUFF.46690.2",437,258,Err:507,
"mcf7_unique:TSS100124_+_22979259.23-CUFF.46690.1,CUFF.46690.2",482,0,Err:507,
"mcf7_unique:TSS100124_+_22979347.23-CUFF.46690.1,CUFF.46690.2",160,0,Err:507,0.133408423391591
mcf7_unique:TSS100163_-_24814214.23-ENST00000221169,1125,1,Err:507,
mcf7_unique:TSS100163_-_24814266.23-ENST00000221169,1454,3,Err:507,
mcf7_unique:TSS100163_-_24814277.23-ENST00000221169,2141,6,Err:507,
mcf7_unique:TSS100163_-_24814586.23-ENST00000221169,372,164,Err:507,
mcf7_unique:TSS100163_-_24814637.23-ENST00000221169,2182,5,Err:507,
mcf7_unique:TSS100163_+_24814385.23-ENST00000221169,1251,222,Err:507,
mcf7_unique:TSS100163_+_24814469.23-ENST00000221169,375,0,Err:507,
mcf7_unique:TSS100163_+_24814554.23-ENST00000221169,1053,3,Err:507,0.078651664821801
mcf7_unique:TSS100253_-_29592322.23-P1P2,187,0,Err:507,
mcf7_unique:TSS100253_-_29592522.23-P1P2,721,3,Err:507,
mcf7_unique:TSS100253_-_29592572.23-P1P2,2431,5,Err:507,
mcf7_unique:TSS100253_-_29592800.23-P1P2,1540,2,Err:507,
mcf7_unique:TSS100253_-_29592811.23-P1P2,788,4,Err:507,
mcf7_unique:TSS100253_+_29592277.23-P1P2,1104,3,Err:507,
mcf7_unique:TSS100253_+_29592313.23-P1P2,951,2,Err:507,
mcf7_unique:TSS100253_+_29592428.23-P1P2,1276,324,Err:507,
mcf7_unique:TSS100253_+_29592699.23-P1P2,2477,530,Err:507,
mcf7_unique:TSS100253_+_29592726.23-P1P2,1345,4,Err:507,0.048827392186306
mcf7_unique:TSS100277_-_30088026.23-CUFF.46851.1,1627,359,Err:507,
mcf7_unique:TSS100277_-_30088097.23-CUFF.46851.1,171,0,Err:507,
mcf7_unique:TSS100277_-_30088104.23-CUFF.46851.1,1493,6,Err:507,
mcf7_unique:TSS100277_-_30088134.23-CUFF.46851.1,621,340,Err:507,
mcf7_unique:TSS100277_-_30088169.23-CUFF.46851.1,546,1,Err:507,
mcf7_unique:TSS100277_-_30088172.23-CUFF.46851.1,617,201,Err:507,
mcf7_unique:TSS100277_-_30088284.23-CUFF.46851.1,1248,3,Err:507,
mcf7_unique:TSS100277_+_30087984.23-CUFF.46851.1,177,0,Err:507,
mcf7_unique:TSS100277_+_30088011.23-CUFF.46851.1,944,3,Err:507,
mcf7_unique:TSS100277_+_30088019.23-CUFF.46851.1,2145,202,Err:507,0.11995299481825
mcf7_unique:TSS100288_-_30242084.23-P1P2,1944,738,Err:507,
mcf7_unique:TSS100288_+_30242040.23-P1P2,1223,393,Err:507,
mcf7_unique:TSS100288_+_30242209.23-P1P2,1517,2,Err:507,
mcf7_unique:TSS100288_+_30242321.23-P1P2,1080,652,Err:507,
mcf7_unique:TSS100288_+_30242371.23-P1P2,3522,359,Err:507,
mcf7_unique:TSS100288_+_30242408.23-P1P2,778,52,Err:507,
mcf7_unique:TSS100288_+_30242411.23-P1P2,1497,439,Err:507,
mcf7_unique:TSS100288_+_30242434.23-P1P2,1849,207,Err:507,
mcf7_unique:TSS100288_+_30242440.23-P1P2,924,1,Err:507,
mcf7_unique:TSS100288_+_30242446.23-P1P2,257,0,Err:507,0.18810492879911
mcf7_unique:TSS100316_-_32627380.23-CUFF.46859.1,515,405,Err:507,
mcf7_unique:TSS100316_-_32627460.23-CUFF.46859.1,685,2,Err:507,
mcf7_unique:TSS100316_-_32627563.23-CUFF.46859.1,154,0,Err:507,
mcf7_unique:TSS100316_-_32627850.23-CUFF.46859.1,251,0,Err:507,
mcf7_unique:TSS100316_+_32627453.23-CUFF.46859.1,116,0,Err:507,
mcf7_unique:TSS100316_+_32627499.23-CUFF.46859.1,1213,296,Err:507,
mcf7_unique:TSS100316_+_32627558.23-CUFF.46859.1,1415,3,Err:507,
mcf7_unique:TSS100316_+_32627577.23-CUFF.46859.1,564,1,Err:507,
mcf7_unique:TSS100316_+_32627583.23-CUFF.46859.1,1031,372,Err:507,
mcf7_unique:TSS100316_+_32627635.23-CUFF.46859.1,825,1,Err:507,0.139927061345238
mcf7_unique:TSS10039_-_15117586.23-CUFF.4974.1,65,0,Err:507,
mcf7_unique:TSS10039_-_15117691.23-CUFF.4974.1,1613,71,Err:507,
mcf7_unique:TSS10039_-_15117701.23-CUFF.4974.1,1593,252,Err:507,
mcf7_unique:TSS10039_-_15117704.23-CUFF.4974.1,602,0,Err:507,
mcf7_unique:TSS10039_+_15117483.23-CUFF.4974.1,85,0,Err:507,
mcf7_unique:TSS10039_+_15117603.23-CUFF.4974.1,1444,378,Err:507,
mcf7_unique:TSS10039_+_15117642.23-CUFF.4974.1,2689,6,Err:507,
mcf7_unique:TSS10039_+_15117650.23-CUFF.4974.1,1756,281,Err:507,
mcf7_unique:TSS10039_+_15117654.23-CUFF.4974.1,564,2,Err:507,
mcf7_unique:TSS100394_-_37374363.23-P1P2,5233,387,Err:507,
mcf7_unique:TSS100394_-_37374482.23-P1P2,266,0,Err:507,
mcf7_unique:TSS100394_-_37374493.23-P1P2,1685,4,Err:507,
mcf7_unique:TSS100394_+_37374197.23-P1P2,1134,1,Err:507,
mcf7_unique:TSS100394_+_37374246.23-P1P2,937,265,Err:507,
mcf7_unique:TSS100394_+_37374284.23-P1P2,177,209,Err:507,
mcf7_unique:TSS100394_+_37374299.23-P1P2,264,1,Err:507,
mcf7_unique:TSS100394_+_37374309.23-P1P2,1481,3,Err:507,
mcf7_unique:TSS100394_+_37374331.23-P1P2,1446,1,Err:507,
mcf7_unique:TSS100394_+_37374467.23-P1P2,700,218,Err:507,
